ACCT_TOKEN,I_ECIF_CUST_ID,C_ECIF_CUST_ROLE,C_FED_EXMPT,X_EMPL,CUST_DEF,CUST_ELIG_STATUS,CUST_ELIG_REASON,CHILD_OFF_CD,OFF_ST_DATE,OFF_END_DATE,CUST_OVER_STATUS,BONUS_1_TYPE,BONUS_1_VAL,BONUS_1_DESC,BONUS_1_STATUS,TAX_TYPE_B1,ELIG_ACCT_OPEN,ACCT_OPEN_DATE,ACCT_STATUS,OPEN_ACCT_QA_STATUS,OPEN_ACCT_QA_REASON,DD_TRX,DD_DATE,DD_TRX_DAYS_RM,DD_QA_STATUS,DD_QA_REASON,BONUS_2_TYPE,BONUS_2_VAL,BONUS_2_DESC,BONUS_2_STATUS,TAX_TYPE_B2,TTL_DPST_BLC,TTL_DPST_BLC_DAYS_RM,INCR_BLC_QA_STATUS,INCR_BLC_QA_REASON,INCR_BLC_DATE,TTL_DSPT_BLC_DAYS_MTN,MAINTAIN_BLC_QA_STATUS,MAINTAIN_BLC_QA_REASON,MAINTAIN_BLC_DATE,AGENT_ID,AGENT_NAME,Bonus_1_OVR_REASON,BONUS_1_OVR_DATE,Bonus_2_OVR_REASON,BONUS_2_OVR_DATE,OFFER_REDEEM_DATE,CUST_D_LOAD,ACCT_D_PRCSS_DAY,TRX_D_PRCSS_DAY,RULES_EXECUTE_DATE
DDA-:-2f9c656962cc28be746757d0a3972c8a75fa771c344dc95f8db2696105baca02,1234,1000016,N,N,Customer,4,NHS408,NH53JJ49OXDMOPHJ,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,05/09/24,Open,4,NHS408,0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,17.63,0,4,NHS408,Not met,,4,NHS408,,,,,,,,09/05/24,56:05.3,05/09/24,null,2024-11-09 22:49:23 PM CST
DDA-:-9f0f97089338e09fc009b1b135a8ab2ae0820c384faf252bcd00f28c8b7e39e0,e36c44d,1000016,N,N,Customer,4,NHS406,NH53JJ496FXYYKBW,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,06/09/24,Open,4,NHS406,12195.46,9/27/2024,0,4,NHS406,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,16358.12,0,4,NHS406,06/09/24,0,4,NHS406,26/09/24,,,,,,,09/06/24,02:07.7,08/11/24,08/11/24,2024-11-09 22:49:24 PM CST
DDA-:-7fb945c8da43666b838ff8b4caba377c3a2e82483dd18ac609766259b29298ac,231560c5-fcb1,1000016,N,N,Prospect,1,NHS100,NH53JJ49G6KHZLXP,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,06/09/24,Open,3,NHS100,0.16,Not met,0,4,NHS401,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,3030.2,0,5,NHS500,Not met,,6,NHS602,,,,,,,,09/06/24,16:39.8,04/11/24,09/09/24,2024-11-09 22:49:23 PM CST
DDA-:-360952c33202fc85d82d059a6a7f3c312f6aca4b95703123af17a1cd7dd92d24,5b31042d-d3a3-4ffc-92,1000016,N,N,Customer,4,NHS408,NH53JJ49G334GSTW,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,28/08/24,Open,4,NHS408,0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,0,0,4,NHS408,Not met,,4,NHS408,,,,,,,,08-28-2024,00:28.3,28/08/24,null,2024-11-09 22:49:24 PM CST
DDA-:-4a8ada49afd0012c7477e1c7e4754ecb9b1c76010608d0d6f011baf17a2d85c9,Prankit,1000016,N,N,Prospect,1,NHS100,NH53JJ491WBUX6YD,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,03/09/24,Open,3,NHS100,9031.36,10/02/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,4681.13,0,3,NHS303,15/10/24,0,4,NHS403,04/11/24,,,,,,,09/03/24,43:32.1,05/11/24,29/10/24,2024-11-09 22:49:23 PM CST
DDA-:-8e859dd0b72d94a663c71a42bddd5b65b505cbfdd93fc2026db7c0fd53a350e5,be2cb564-fdb8-48a9,1000016,N,N,Customer,4,NHS408,NH53JJ49KJWGDZPA,19/08/24,06/09/24,4,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,27/08/24,Open,4,NHS408,0,Not met,0,4,NHS408,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,INT,-89.97,0,4,NHS408,Not met,,4,NHS408,,,,,,,,08-27-2024,44:50.0,25/10/24,null,2024-11-09 22:49:23 PM CST
DDA-:-da5390e12907ad50c2686ac55ce5a360b2edec726c4fc56ae08fee2c84ffcd68,c339b434dab52fc9,1000016,N,N,Prospect,1,NHS100,NH53JJ49AFGWVP1K,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,4,MISC,Y,13/08/24,Open,3,NHS100,0,Not met,0,4,NHS401,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,0,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-13-2024,52:31.9,13/08/24,null,2024-11-09 22:49:23 PM CST
DDA-:-e07c3b2f22c9e32cdb6def0a03a6b1c6353ee17550ffd865a04ece538b8cb5e9,ebc5a3dc-a9614a1cdf,1000016,A,N,Prospect,1,NHS100,NH53JJ49BJINL3IV,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,19/08/24,Open,3,NHS100,3091.49,09/05/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,339.32,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-19-2024,40:39.2,08/11/24,08/11/24,2024-11-09 22:49:23 PM CST
DDA-:-93e4fec2f59aab8ed8cf0e025e093a0841902e47dfd9392b9e552822912ce4c2,Gaurav,1000016,C,N,Prospect,1,NHS100,NH53JJ49N3XDOMZ5,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,20/08/24,Open,3,NHS100,6298.63,8/28/2024,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,3996.4,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-20-2024,07:35.4,08/11/24,06/11/24,2024-11-09 22:49:23 PM CST
DDA-:-7decdc2b3a295fed8d46dde392128912ad011859e35c95c894ba9e0a773f158f,fe15b364-0d7537444fc,1000016,N,N,Prospect,1,NHS100,NH53JJ49X3ALXFEO,19/08/24,06/09/24,3,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,20/08/24,Open,3,NHS100,8193.65,8/28/2024,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,INT,5857.76,0,3,NHS303,03/09/24,0,3,NHS304,23/09/24,,,,,,,08-20-2024,29:14.5,08/11/24,06/11/24,2024-11-09 22:49:23 PM CST
DDA-:-04db4e7fe0ac6faf5cda09926e7be20f3e5c98553e199eb7c3c4eb49f67fe2c3,c4659699-ed0f9,1000016,N,N,Prospect,1,NHS100,NH53JJ49YHKXQWQF,19/08/24,06/09/24,3,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,21/08/24,Open,3,NHS100,1335.15,09/05/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,INT,40455.25,0,3,NHS303,21/08/24,0,3,NHS304,10/09/24,,,,,,,08-21-2024,14:14.2,04/11/24,19/09/24,2024-11-09 22:49:23 PM CST
DDA-:-350c9e0ab20aacd5193b121362071b019786674d474ad77d6585f0cc432ff5d3,73915653-685b-4bb84,1000016,N,N,Prospect,1,NHS100,NH53JJ49ZVAJFUTA,19/08/24,06/09/24,2,Cash,250,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,3,MISC,Y,22/08/24,Open,3,NHS100,1503.7,10/03/24,0,3,NHS302,Cash,150,CONGRATULATIONS! You have earned your reward.  Thank you for banking with Fifth Third.,5,INT,2.33,0,5,NHS500,Not met,,6,NHS602,,,,,,,,08-22-2024,03:07.1,08/11/24,01/11/24,2024-11-09 22:49:23 PM CST
